iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BIH,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,562887.2438225443,tonnes,annual,2022-10-10 17:13:05.117991,2022-10-24 16:24:12.103979
BIH,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,562887.2438225443,tonnes,annual,2022-10-10 17:13:05.117996,2022-10-24 16:24:12.103979
BLM,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-68.26839637755211,tonnes,annual,2022-10-10 17:13:05.118073,2022-10-24 16:24:12.103979
BLM,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-68.26839637755211,tonnes,annual,2022-10-10 17:13:05.11809,2022-10-24 16:24:12.103979
BLM,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-68.26839637755211,tonnes,annual,2022-10-10 17:13:05.118097,2022-10-24 16:24:12.103979
BLR,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-230571.29911194352,tonnes,annual,2022-10-10 17:13:05.11817,2022-10-24 16:24:12.103979
BLR,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-230571.29911194352,tonnes,annual,2022-10-10 17:13:05.118187,2022-10-24 16:24:12.103979
BLR,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-230571.29911194352,tonnes,annual,2022-10-10 17:13:05.118192,2022-10-24 16:24:12.103979
BLZ,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-10008.510088503008,tonnes,annual,2022-10-10 17:13:05.118266,2022-10-24 16:24:12.103979
BLZ,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-10008.510088503008,tonnes,annual,2022-10-10 17:13:05.118283,2022-10-24 16:24:12.103979
BLZ,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-10008.510088503008,tonnes,annual,2022-10-10 17:13:05.118289,2022-10-24 16:24:12.103979
BOL,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-22674887.844571,tonnes,annual,2022-10-10 17:13:05.118461,2022-10-24 16:24:12.103979
BOL,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-22674887.844571,tonnes,annual,2022-10-10 17:13:05.118478,2022-10-24 16:24:12.103979
BOL,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-22674887.844571,tonnes,annual,2022-10-10 17:13:05.118483,2022-10-24 16:24:12.103979
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-112741487.84950194,tonnes,annual,2022-10-10 17:13:05.118556,2022-10-24 16:24:12.103979
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-112741487.84950194,tonnes,annual,2022-10-10 17:13:05.118573,2022-10-24 16:24:12.103979
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-112741487.84950194,tonnes,annual,2022-10-10 17:13:05.118578,2022-10-24 16:24:12.103979
BRB,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-26904.985625266996,tonnes,annual,2022-10-10 17:13:05.11865,2022-10-24 16:24:12.103979
BRB,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-26904.985625266996,tonnes,annual,2022-10-10 17:13:05.118669,2022-10-24 16:24:12.103979
BRB,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-26904.985625266996,tonnes,annual,2022-10-10 17:13:05.118674,2022-10-24 16:24:12.103979
BRN,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,5613.376817845128,tonnes,annual,2022-10-10 17:13:05.118746,2022-10-24 16:24:12.103979
BRN,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,5613.376817845128,tonnes,annual,2022-10-10 17:13:05.118762,2022-10-24 16:24:12.103979
BRN,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,5613.376817845128,tonnes,annual,2022-10-10 17:13:05.118769,2022-10-24 16:24:12.103979
BTN,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,74247.00067294054,tonnes,annual,2022-10-10 17:13:05.118843,2022-10-24 16:24:12.103979
BTN,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,74247.00067294054,tonnes,annual,2022-10-10 17:13:05.118859,2022-10-24 16:24:12.103979
BTN,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,74247.00067294054,tonnes,annual,2022-10-10 17:13:05.118866,2022-10-24 16:24:12.103979
BWA,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-9563144.74657802,tonnes,annual,2022-10-10 17:13:05.121368,2022-10-24 16:24:12.103979
BWA,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-9563144.74657802,tonnes,annual,2022-10-10 17:13:05.121407,2022-10-24 16:24:12.103979
BWA,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-9563144.74657802,tonnes,annual,2022-10-10 17:13:05.121415,2022-10-24 16:24:12.103979
CAF,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,11105374.792920202,tonnes,annual,2022-10-10 17:13:05.121541,2022-10-24 16:24:12.103979
CAF,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,11105374.792920202,tonnes,annual,2022-10-10 17:13:05.121559,2022-10-24 16:24:12.103979
CAF,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,11105374.792920202,tonnes,annual,2022-10-10 17:13:05.121564,2022-10-24 16:24:12.103979
CAN,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,75609399.8072729,tonnes,annual,2022-10-10 17:13:05.121658,2022-10-24 16:24:12.103979
CAN,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,75609399.8072729,tonnes,annual,2022-10-10 17:13:05.121675,2022-10-24 16:24:12.103979
CAN,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,75609399.8072729,tonnes,annual,2022-10-10 17:13:05.12168,2022-10-24 16:24:12.103979
CHE,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-2305401.4235997046,tonnes,annual,2022-10-10 17:13:05.121881,2022-10-24 16:24:13.032857
CHE,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-2305401.4235997046,tonnes,annual,2022-10-10 17:13:05.121898,2022-10-24 16:24:13.032857
CHE,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-2305401.4235997046,tonnes,annual,2022-10-10 17:13:05.121903,2022-10-24 16:24:13.032857
CHL,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-24820634.793034058,tonnes,annual,2022-10-10 17:13:05.12198,2022-10-24 16:24:13.032857
CHL,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-24820634.793034058,tonnes,annual,2022-10-10 17:13:05.121996,2022-10-24 16:24:13.032857
CHL,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-24820634.793034058,tonnes,annual,2022-10-10 17:13:05.122001,2022-10-24 16:24:13.032857
CHN,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-3929138.684863574,tonnes,annual,2022-10-10 17:13:05.122072,2022-10-24 16:24:13.032857
